Title,Address,Website,Phone,Category,HR_Best_Email,HR_Better_Email,Sales_Best_Email,Careers_Page,Instagram,Facebook,X_Twitter,LinkedIn
Le Reve Restaurant,"6304 Laurel Canyon Blvd, North Hollywood, CA 91606, United States",Not found,+1 818-766-4100,Restaurant,,,,Not found,,,,
The Local Peasant - Sherman Oaks Restaurant and Bar,"14058 Ventura Blvd, Sherman Oaks, CA 91423, United States",https://www.thelocalpeasant.com/,+1 818-501-0234,American restaurant,,INFO@THELOCALPEASANT.COM,,,http://www.instagram.com/thelocalpeasant,http://facebook.com/thelocalpeasant,http://twitter.com/thelocalpeasant,
West Restaurant & Lounge,"170 N Church Ln, Los Angeles, CA 90049",http://www.westrestaurantla.com/,(310) 481-7878,Californian restaurant,,WESTHosts@HotelAngeleno.com; WestHost@HotelAngeleno.com; WestHosts@HotelAngeleno.com,Sales@HotelAngeleno.com,,https://www.instagram.com/westrestaurantla/,https://www.facebook.com/profile.php?id=61561342087664,,
Peppone Restaurant,"11628 Barrington Ct, Los Angeles, CA 90049",http://www.peppone.com/,(310) 476-7379,Italian restaurant,,,,,,https://www.facebook.com/pepponerestaurant/,,
Haifa Restaurant,"8717 W Pico Blvd, Los Angeles, CA 90035",Not found,(310) 888-7700,Mediterranean restaurant,,,,Not found,,,,
Pita Bar + Grill - Mediterranean Restaurant Brentwood LA,"1168 S Barrington Ave, Los Angeles, CA 90025",Not found,(310) 444-0017,Mediterranean restaurant,,,,Not found,,,,
Gaby's Restaurant,"10445 Venice Blvd., Los Angeles, CA 90034",http://www.gabysrestaurants.com/,(310) 559-1808,Mediterranean restaurant,,,,,,,,
Il Moro Restaurant,"Entrance on, 11400 West Olympic Boulevard, Purdue Ave, Los Angeles, CA 90064",https://ilmoro.com/,(310) 575-3530,Italian restaurant,,ilmororestaurant@gmail.com; ilmororestaurant@verizon.net,,,https://www.instagram.com/ilmororestaurant/,https://www.facebook.com/ilmororestaurant,,
Arth Bar & Kitchen - Indian Restaurant in Culver City,"9531 Culver Blvd, Culver City, CA 90232",http://www.arthla.com/,(424) 603-4155,Indian restaurant,,,,,,,,
Siam Chan Thai Restaurant,"1611 Colby Ave, Los Angeles, CA 90025",http://www.siamchanrestaurant.com/,(310) 444-4981,Thai restaurant,,,,,,,,
Golden Bull Restaurant,"170 W Channel Rd, Santa Monica, CA 90402",http://www.goldenbullsantamonica.com/,(310) 230-0402,Steak house,,events@goldenbullsantamonica.com; gm@goldenbullsantamonica.com,,,https://www.instagram.com/thegoldenbullsm/,,,
Toscana Brentwood,"11633 San Vicente Blvd # 100, Los Angeles, CA 90049",http://www.toscanabrentwood.com/,(310) 820-2448,Italian restaurant,,events@toscanabrentwood.com; janine@toscanabrentwood.com; toscana@toscanabrentwood.com,,,,,,
Restaurant at The Getty Center,"1200 Getty Center Dr, Los Angeles, CA 90049",http://www.getty.edu/visit/center/eat.html,(310) 440-6810,American restaurant,,communications@getty.edu; events@getty.edu; finance@getty.edu; gettycommunications@getty.edu; gettymuseum@getty.edu; osip@getty.edu; pkoffel@getty.edu; schoolgroupreservations@getty.edu; visitorservices@getty.edu; volunteer@getty.edu,,https://jobs-getty.icims.com/,https://www.instagram.com/gettymuseum/,https://www.facebook.com/gettymuseum,https://twitter.com/gettymuseum,
Hu's Szechwan Restaurant,"10450 National Blvd, Los Angeles, CA 90034",http://www.husrestaurant.com/,(310) 837-0252,Chinese restaurant,,,,,,,,
